SIGLA,CEP,CIDADE,CNPJ,COD OBRA,ENDEREÇO,FONE,INSCR. ESTAD,KM IDA E VOLTA,L.,Ordens de Serviço,PEDÁGIO IDA E VOLTA,UF
"290 -  - ",,,,,,,,,290,,,
034 - BRAGAN - Bragança Plta.,12.900-301,Bragança Plta.,56.642.960/0037-10,88056,"Av.: José Gomes da Rocha Leal, 2100 – Centro",(011) 4034-0263,225.067.555.116,,34,,,"SP "
202 - IBATE - Ibaté,14.815-000,Ibaté,56.642.960/0204-88,274260,"Av. São João, 1118 – Centro",(016) 3343-5146,341.017.300.118,160,202,IBATÉ (https://www.notion.so/db05ec9904e145eeb68e1a1f57aa48cb?pvs=21),"R$ 32,80","SP "
304 - MORAGU - Morro Agudo,14.640-000,Morro Agudo,56.642.960/308-74,,"Rua Inacio Franco, 1066,  Centro",,467.057.727.114,,304,,,"SP "
169 - CIDOCI - Praia Grande,11.705-000,Praia Grande,56.642.960/0170-02,20670,"Av. Presidente Kennedy, 7358 - Cidade Ocian",(013) 3472-3517,558.221.690.111,500,169,PRAIA GDE OCIAN (https://www.notion.so/0ee78fd550c04341b898ef257a9dbf20?pvs=21),"R$ 122,70","SP "
291 - CAMELI - Campinas,13.060-192,Campinas,56.642.960/0293-53,766111,"Avenida Ruy Rodriguez, 711- Jd Novo Campos Eliseos",(019) 3223-2020,122.612.348.112,,291,,,"SP "
287 - MANGA - Mangaratiba,23.860-000,Mangaratiba,56.642.960/0287-05,684574,"Estrada São João Marcos, 150 - Nova Mangaratiba ",(021)3789-0516,11.932.223,1040,287,MANGARATIBA (https://www.notion.so/cec234335f114c94a5715efa011caaf3?pvs=21),"R$ 170,60",RJ
278 - MOSIAO - Monte Sião,37.580-000,Monte Sião,56.642.960/0279-03,,"Rua Juscelino Kubitschek de Oliveira, 429 – Centro",(035) 3465-2464,525.649.701.2381,,278,,,MG
237 - PENAP - Penápolis,16.300-013,Penápolis,56.642.960/0238-27,471223,"Av. Luiz Osório, 747 – Centro",(018) 3652-5456,521.084.537.111,,237,,,"SP "
133 - SEROP - Seropédica,23.890-000,Seropédica,56.642.960/0136-00,135711,"Av.: Ministro Fernando Costa, 619 - Fazenda Caxias",(021) 2682-1589,77.715.444,,133,,,RJ
285 - BIRMI - Biritiba - Mirim,08.940-000,Biritiba - Mirim,56.642.960/0288-96,777700,"Rua Vinte e Cinco de Março, 100 - Jd. Pamela ",(011)4692-6417,215.040.005.115,,285,,,"SP "
031 - PINDA - Pindamonhangaba,12.400-460,Pindamonhangaba,56.642.960/0033-97,87753,"Av.: Dr. Jorge Tibiriçá, 199 - Centro",(012) 3642-4100,528.031.829.119,,31,,,"SP "
243 - AGUAI - Aguai,13.860-000,Aguai,56.642.960/0244-75,472129,"Rua Major Braga, 560 – Centro",(019) 3652-1663,152.039.878.119,,243,,,"SP "
107 - BMANSA - Barra Mansa,27.330-041,Barra Mansa,56.642.960/0108-49,110909,"Av.: Joaquim Leite, 221 - Centro",(024) 3322-8833,77.188.479,900,107,BARRA MANSA (https://www.notion.so/2099521f31eb4fb981b4c89c374a2c76?pvs=21),"R$ 170,60",RJ
053 - SCRPAR - Sta. Cruz Rio Pardo,18.900-000,Sta. Cruz Rio Pardo,56.642.960/0056-83,118541,"Rua: Conselheiro Dantas, 610 - Centro",(014) 3372-4400,612.027.660.110,,53,,,"SP "
