Nome,"Compra (unid, m, kg)",Ordens de Serviço,Tags,"Venda (unid, m, kg)"
20 M CABO ALARME,"R$ 18,00","SALTO CT (https://www.notion.so/0964a39e3f2c4cb9b1bd94208ef8d31e?pvs=21), SANTA RITA DO SAPUCAI (https://www.notion.so/2be09ccc51764755962963bb9ac9b55e?pvs=21), ITAJUBA (https://www.notion.so/36665505b6bc4b1f8376b586727246d7?pvs=21), SÃO JOSE RIO PRETO CT (https://www.notion.so/15453ff80379426faef0ca108b951284?pvs=21)",,"R$ 26,00"
1 SIRENE CORNETA 12 VCC,"R$ 45,00",,,"R$ 65,50"
1 RL FITA LED,"R$ 45,00","SUMARÉ BR (https://www.notion.so/1216d36936784b34885f4508342e0fe1?pvs=21), SÃO JOSE RIO PRETO BR (https://www.notion.so/d55a9cffd6f34008a6339587eae7137d?pvs=21), SÃO VICENTE CT (https://www.notion.so/8eaf1f8c876a46b68f76ac58d874b600?pvs=21), TIETÊ (https://www.notion.so/f6f787f390974101b9982e30d852008e?pvs=21), SÃO JOSE RIO PRETO CT (https://www.notion.so/15453ff80379426faef0ca108b951284?pvs=21), ITAJUBA (https://www.notion.so/36665505b6bc4b1f8376b586727246d7?pvs=21)",,"R$ 65,50"
1 FONTE 12V,"R$ 39,50","SUMARÉ BR (https://www.notion.so/1216d36936784b34885f4508342e0fe1?pvs=21), SÃO JOSE RIO PRETO BR (https://www.notion.so/d55a9cffd6f34008a6339587eae7137d?pvs=21), SÃO VICENTE CT (https://www.notion.so/8eaf1f8c876a46b68f76ac58d874b600?pvs=21), SÃO JOSE RIO PRETO CT (https://www.notion.so/15453ff80379426faef0ca108b951284?pvs=21), ITAJUBA (https://www.notion.so/36665505b6bc4b1f8376b586727246d7?pvs=21), TIETÊ (https://www.notion.so/f6f787f390974101b9982e30d852008e?pvs=21)",,"R$ 57,50"
1 PLACA INOX CEGA,"R$ 22,50",CATANDUVA (https://www.notion.so/c66f67df67934ff4b8951e32aa1ca450?pvs=21),,"R$ 33,50"
1 TOMADA 2P+T H.C,"R$ 6,70",,,"R$ 9,70"
1 RJ 11 CRISTAL,"R$ 3,50",,,"R$ 5,10"
2 SIRENE CORNETA 12 VCC,"R$ 45,00",,,"R$ 130,50"
2 FONTE 12V,"R$ 39,50",,,"R$ 115,00"
3 PLACA INOX 2 POSTO,"R$ 22,50",,,"R$ 100,50"
2 PLACA INOX 2 POSTO,"R$ 22,50",CATANDUVA (https://www.notion.so/c66f67df67934ff4b8951e32aa1ca450?pvs=21),,"R$ 67,00"
4 TOMADA 2P+T H.C,"R$ 6,70",CATANDUVA (https://www.notion.so/c66f67df67934ff4b8951e32aa1ca450?pvs=21),,"R$ 35,80"
3 TOMADA 2P+T H.C,"R$ 6,70",,,"R$ 26,10"
2 TOMADA 2P+T H.C,"R$ 6,70",,,"R$ 16,40"
1 PLACA INOX 2 POSTO,"R$ 22,50",,,"R$ 33,50"
2 PLACA INOX CEGA,"R$ 22,50",,,"R$ 67,00"
5 RJ 11 CRISTAL,"R$ 3,50",,,"R$ 25,50"
4 RJ 11 CRISTAL,"R$ 3,50",SÃO VICENTE CT (https://www.notion.so/8eaf1f8c876a46b68f76ac58d874b600?pvs=21),,"R$ 20,40"
3 RJ 11 CRISTAL,"R$ 3,50",,,"R$ 15,30"
2 RJ 11 CRISTAL,"R$ 3,50",,,"R$ 10,20"
1 RJ 45 CRISTAL,"R$ 3,50",,,"R$ 5,10"
2 RJ 45 CRISTAL,"R$ 3,50",,,"R$ 10,20"
3 RJ 45 CRISTAL,"R$ 3,50",,,"R$ 15,30"
4 RJ 45 CRISTAL,"R$ 3,50",SÃO VICENTE CT (https://www.notion.so/8eaf1f8c876a46b68f76ac58d874b600?pvs=21),,"R$ 20,40"
5 RJ 45 CRISTAL,"R$ 3,50",,,"R$ 25,50"
100 M CABO ALARME,"R$ 90,00",,,"R$ 91,00"
80 M CABO ALARME,"R$ 72,00",,,"R$ 78,00"
40 M CABO ALARME,"R$ 36,00","IGARAPAVA (https://www.notion.so/010aace9b8074e9e966abfc70d104e8a?pvs=21), SUMARÉ BR (https://www.notion.so/1216d36936784b34885f4508342e0fe1?pvs=21), CAJATI (https://www.notion.so/e6a8650d559947d8882b5d8f343c885c?pvs=21), ITU CT (https://www.notion.so/ebf7ee97db074d9ba0be7828f2fdb765?pvs=21), CAMBUI (https://www.notion.so/1da3f011ac63440bb18aba11dbf80765?pvs=21), CERQUILHO (https://www.notion.so/80cacf450c9041dcaf91b28cdaa9f622?pvs=21)",,"R$ 52,00"
60 M CABO ALARME,"R$ 54,00","SALTO BR (https://www.notion.so/d41c8538457c4ae295e797f9d1f2e74c?pvs=21), TIETÊ (https://www.notion.so/f6f787f390974101b9982e30d852008e?pvs=21), ITU 180 (https://www.notion.so/dbd29344228343fab1d34b339bff00d5?pvs=21)",,"R$ 65,00"
2 RL FITA LED,"R$ 45,00",,,"R$ 130,50"
200 M CABO ALARME,"R$ 180,00",,,"R$ 261,00"
300 M CABO ALARME,"R$ 270,00",,,"R$ 391,50"
