Nome,Ordens de Serviço,Tags
SUBSTITUIR SENSORES IVP 5311,"IGARAPAVA (https://www.notion.so/010aace9b8074e9e966abfc70d104e8a?pvs=21), JARDINOPOLIS (https://www.notion.so/24e826fa0b054d5cbbf3cad26ef70e8d?pvs=21), RIBEIRÃO PRETO CT (https://www.notion.so/cb553dc6bd9d4c7d97a569175d28ace3?pvs=21), SOCORRO (https://www.notion.so/8cb3d95595d942e28778df8f86afb9b5?pvs=21), TUCURUVI (https://www.notion.so/16e12400f546450299266cc00ab37a4b?pvs=21), MOGI C. B. CUBAS (https://www.notion.so/ba31912912ce4dc2801b28efb1fdfe6f?pvs=21), BIRIGUI (https://www.notion.so/20dce482a06546df8e51988f04e70870?pvs=21), JUNDIAI 245 (https://www.notion.so/b925fedbd69047bda1c5479a8c765690?pvs=21), FRUTAL (https://www.notion.so/6197d509c08e4f22938b070925897c44?pvs=21), JOSÉ BONIFACIO (https://www.notion.so/055238e7e9824e05a605469646ab2e28?pvs=21), TABOÃO SERRA (https://www.notion.so/da5fb6fa9d8e48f4ab46b831204c986a?pvs=21), TAQUARITUBA (https://www.notion.so/6e47e56e6dfe42bcbb7298b3b311993f?pvs=21), VARGINHA (https://www.notion.so/db1858c2e9b54d4f98d7c83f5af9fdc2?pvs=21), RIO GRANDE SERRA (https://www.notion.so/23f8b49a86d74b478ff360dd0b1e855f?pvs=21), CERQUILHO (https://www.notion.so/80cacf450c9041dcaf91b28cdaa9f622?pvs=21), SALTO PIRAPORA (https://www.notion.so/57a406f4058849c89b3698e5586e16cf?pvs=21), ITAJUBA (https://www.notion.so/36665505b6bc4b1f8376b586727246d7?pvs=21), SANTA RITA DO SAPUCAI (https://www.notion.so/2be09ccc51764755962963bb9ac9b55e?pvs=21), CAMBUI (https://www.notion.so/1da3f011ac63440bb18aba11dbf80765?pvs=21), SUMARÉ BR (https://www.notion.so/1216d36936784b34885f4508342e0fe1?pvs=21), CAJATI (https://www.notion.so/e6a8650d559947d8882b5d8f343c885c?pvs=21), ITU CT (https://www.notion.so/ebf7ee97db074d9ba0be7828f2fdb765?pvs=21), SALTO CT (https://www.notion.so/0964a39e3f2c4cb9b1bd94208ef8d31e?pvs=21), SALTO BR (https://www.notion.so/d41c8538457c4ae295e797f9d1f2e74c?pvs=21), ITU 180 (https://www.notion.so/dbd29344228343fab1d34b339bff00d5?pvs=21), TIETÊ (https://www.notion.so/f6f787f390974101b9982e30d852008e?pvs=21), SÃO JOSE RIO PRETO CT (https://www.notion.so/15453ff80379426faef0ca108b951284?pvs=21), SOROCABA EDEM (https://www.notion.so/34beda24c53b429f8a0de1b379d97e5a?pvs=21), ANGRA REIS CT (https://www.notion.so/f83e6ace236b4360b9d28a429b8d21c9?pvs=21), ANGRA REIS BR (https://www.notion.so/6a48030bfc65494494f39653da44a302?pvs=21), MANGARATIBA (https://www.notion.so/cec234335f114c94a5715efa011caaf3?pvs=21), ENGENHEIRO COELHO (https://www.notion.so/77af979d804f451b87cc769a7afb8bb6?pvs=21), FRANCA (https://www.notion.so/9c0a68832f8c49af9800e9c8b9c55814?pvs=21), LAGOA PRATA (https://www.notion.so/333fa203deeb406699b74a4e37aff0f1?pvs=21), OSVALDO CRUZ (https://www.notion.so/c1a21b14a4aa4d099b02703cdabb75d7?pvs=21), PAULINIA (https://www.notion.so/8a569b4cfb35442fa1838a098069fb32?pvs=21), PROMISSÃO (https://www.notion.so/51b942df7cc0404c923a3bece8b39c70?pvs=21), GUARULHOS (https://www.notion.so/113803739c464286a83a7f0c70fa242a?pvs=21), SERRANA (https://www.notion.so/afe9756a45fe402fbe6e4e108e5f3f16?pvs=21), DESCALVADO (https://www.notion.so/6dfb9a730081444c9b4ce3895af82329?pvs=21), SUMARÉ CT (https://www.notion.so/72122442d5b74b018c59e28920678722?pvs=21), BOITUVA (https://www.notion.so/4bfab5da65d74489a914a9b4da49db71?pvs=21), IBATÉ (https://www.notion.so/db05ec9904e145eeb68e1a1f57aa48cb?pvs=21), COTIA CT (https://www.notion.so/025b15fcf0a146f98388885c18c43b08?pvs=21), CRUZEIRO (https://www.notion.so/c7706777eae944cfad25cfb66b14e855?pvs=21), ITUPEVA (https://www.notion.so/eceffdf1915342cca8fced47559d2555?pvs=21), MARILIA CT (https://www.notion.so/549574b261984000b730fd13185dae63?pvs=21), SÃO ROQUE (https://www.notion.so/28d9eebc527e45ec9411d46f3ef25f16?pvs=21), CACHOEIRA PAULISTA (https://www.notion.so/7fa367091e6643a3bcab35acfb5e4d8b?pvs=21), ITU 183 (https://www.notion.so/22dc2156c09746d9b96435a6cff498d4?pvs=21), PORTO FELIZ (https://www.notion.so/58585c96b40a4d41a258da1d732d6319?pvs=21), MATÃO  (https://www.notion.so/92994de0917b4f37921bab07b24480f1?pvs=21), JABOTICABAL (https://www.notion.so/694966c2202b4162843e4f8f374104c3?pvs=21), BARRETOS (https://www.notion.so/a06186e306324788a29e496415de1e57?pvs=21), ARAÇARIGUAMA (https://www.notion.so/456a578eb78d49638ff01b98e76ba823?pvs=21), HOLAMBRA (https://www.notion.so/2033df85ea4649fb85189c20ac265a46?pvs=21), POÁ (https://www.notion.so/ebc039160847435699417dffb661b92b?pvs=21), TAUBATÉ BR (https://www.notion.so/76a4b6c29c2e43b1965c2f2e1b84ac1a?pvs=21), VILA CARRÃO (https://www.notion.so/7d1de3542c2b4338a4e8f1b4ff360263?pvs=21), SÃO SEBASTIÃO (https://www.notion.so/e9700f0640b34fdf8a7a51f95b45e92a?pvs=21), PEDERNEIRAS (https://www.notion.so/46e2fb975e2748c1af3c926e27236e2d?pvs=21), COSMÓPOLIS (https://www.notion.so/d1c399015f964b8e908f1132724fdc33?pvs=21), JÁU  (https://www.notion.so/d59797f835154df78503546cfe51c1a6?pvs=21)",
INSTALAR SENSOR NA BOCA DE LOBO,"IGARAPAVA (https://www.notion.so/010aace9b8074e9e966abfc70d104e8a?pvs=21), JARDINOPOLIS (https://www.notion.so/24e826fa0b054d5cbbf3cad26ef70e8d?pvs=21), RIBEIRÃO PRETO CT (https://www.notion.so/cb553dc6bd9d4c7d97a569175d28ace3?pvs=21), ALFENAS (https://www.notion.so/854317ba11574650813830f41648d64f?pvs=21), ARARAQUARA BR (https://www.notion.so/03dc79e7dea04bb3b646cfd09ad11ed4?pvs=21), SOCORRO (https://www.notion.so/8cb3d95595d942e28778df8f86afb9b5?pvs=21), TUCURUVI (https://www.notion.so/16e12400f546450299266cc00ab37a4b?pvs=21), MOGI C. B. CUBAS (https://www.notion.so/ba31912912ce4dc2801b28efb1fdfe6f?pvs=21), BIRIGUI (https://www.notion.so/20dce482a06546df8e51988f04e70870?pvs=21), JUNDIAI 245 (https://www.notion.so/b925fedbd69047bda1c5479a8c765690?pvs=21), FRUTAL (https://www.notion.so/6197d509c08e4f22938b070925897c44?pvs=21), JOSÉ BONIFACIO (https://www.notion.so/055238e7e9824e05a605469646ab2e28?pvs=21), TABOÃO SERRA (https://www.notion.so/da5fb6fa9d8e48f4ab46b831204c986a?pvs=21), TAQUARITUBA (https://www.notion.so/6e47e56e6dfe42bcbb7298b3b311993f?pvs=21), VARGINHA (https://www.notion.so/db1858c2e9b54d4f98d7c83f5af9fdc2?pvs=21), RIO GRANDE SERRA (https://www.notion.so/23f8b49a86d74b478ff360dd0b1e855f?pvs=21), CERQUILHO (https://www.notion.so/80cacf450c9041dcaf91b28cdaa9f622?pvs=21), SALTO PIRAPORA (https://www.notion.so/57a406f4058849c89b3698e5586e16cf?pvs=21), ITAJUBA (https://www.notion.so/36665505b6bc4b1f8376b586727246d7?pvs=21), SANTA RITA DO SAPUCAI (https://www.notion.so/2be09ccc51764755962963bb9ac9b55e?pvs=21), CAMBUI (https://www.notion.so/1da3f011ac63440bb18aba11dbf80765?pvs=21), SUMARÉ BR (https://www.notion.so/1216d36936784b34885f4508342e0fe1?pvs=21), CAJATI (https://www.notion.so/e6a8650d559947d8882b5d8f343c885c?pvs=21), ITU CT (https://www.notion.so/ebf7ee97db074d9ba0be7828f2fdb765?pvs=21), SALTO CT (https://www.notion.so/0964a39e3f2c4cb9b1bd94208ef8d31e?pvs=21), SALTO BR (https://www.notion.so/d41c8538457c4ae295e797f9d1f2e74c?pvs=21), ITU 180 (https://www.notion.so/dbd29344228343fab1d34b339bff00d5?pvs=21), TIETÊ (https://www.notion.so/f6f787f390974101b9982e30d852008e?pvs=21), SÃO JOSE RIO PRETO CT (https://www.notion.so/15453ff80379426faef0ca108b951284?pvs=21), SOROCABA EDEM (https://www.notion.so/34beda24c53b429f8a0de1b379d97e5a?pvs=21), ANGRA REIS CT (https://www.notion.so/f83e6ace236b4360b9d28a429b8d21c9?pvs=21), ANGRA REIS BR (https://www.notion.so/6a48030bfc65494494f39653da44a302?pvs=21), MANGARATIBA (https://www.notion.so/cec234335f114c94a5715efa011caaf3?pvs=21), ENGENHEIRO COELHO (https://www.notion.so/77af979d804f451b87cc769a7afb8bb6?pvs=21), FRANCA (https://www.notion.so/9c0a68832f8c49af9800e9c8b9c55814?pvs=21), LAGOA PRATA (https://www.notion.so/333fa203deeb406699b74a4e37aff0f1?pvs=21), OSVALDO CRUZ (https://www.notion.so/c1a21b14a4aa4d099b02703cdabb75d7?pvs=21), PAULINIA (https://www.notion.so/8a569b4cfb35442fa1838a098069fb32?pvs=21), PROMISSÃO (https://www.notion.so/51b942df7cc0404c923a3bece8b39c70?pvs=21), GUARULHOS (https://www.notion.so/113803739c464286a83a7f0c70fa242a?pvs=21), SERRANA (https://www.notion.so/afe9756a45fe402fbe6e4e108e5f3f16?pvs=21), DESCALVADO (https://www.notion.so/6dfb9a730081444c9b4ce3895af82329?pvs=21), SUMARÉ CT (https://www.notion.so/72122442d5b74b018c59e28920678722?pvs=21), BOITUVA (https://www.notion.so/4bfab5da65d74489a914a9b4da49db71?pvs=21), IBATÉ (https://www.notion.so/db05ec9904e145eeb68e1a1f57aa48cb?pvs=21), COTIA CT (https://www.notion.so/025b15fcf0a146f98388885c18c43b08?pvs=21), CRUZEIRO (https://www.notion.so/c7706777eae944cfad25cfb66b14e855?pvs=21), ITUPEVA (https://www.notion.so/eceffdf1915342cca8fced47559d2555?pvs=21), MARILIA CT (https://www.notion.so/549574b261984000b730fd13185dae63?pvs=21), SÃO ROQUE (https://www.notion.so/28d9eebc527e45ec9411d46f3ef25f16?pvs=21), CACHOEIRA PAULISTA (https://www.notion.so/7fa367091e6643a3bcab35acfb5e4d8b?pvs=21), ITU 183 (https://www.notion.so/22dc2156c09746d9b96435a6cff498d4?pvs=21), PORTO FELIZ (https://www.notion.so/58585c96b40a4d41a258da1d732d6319?pvs=21), MATÃO  (https://www.notion.so/92994de0917b4f37921bab07b24480f1?pvs=21), JABOTICABAL (https://www.notion.so/694966c2202b4162843e4f8f374104c3?pvs=21), BARRETOS (https://www.notion.so/a06186e306324788a29e496415de1e57?pvs=21), ARAÇARIGUAMA (https://www.notion.so/456a578eb78d49638ff01b98e76ba823?pvs=21), HOLAMBRA (https://www.notion.so/2033df85ea4649fb85189c20ac265a46?pvs=21), POÁ (https://www.notion.so/ebc039160847435699417dffb661b92b?pvs=21), TAUBATÉ BR (https://www.notion.so/76a4b6c29c2e43b1965c2f2e1b84ac1a?pvs=21), VILA CARRÃO (https://www.notion.so/7d1de3542c2b4338a4e8f1b4ff360263?pvs=21), SÃO SEBASTIÃO (https://www.notion.so/e9700f0640b34fdf8a7a51f95b45e92a?pvs=21), PEDERNEIRAS (https://www.notion.so/46e2fb975e2748c1af3c926e27236e2d?pvs=21), COSMÓPOLIS (https://www.notion.so/d1c399015f964b8e908f1132724fdc33?pvs=21), JÁU  (https://www.notion.so/d59797f835154df78503546cfe51c1a6?pvs=21), GUARUJA VIC. C (https://www.notion.so/41038d0a40c24c6ca514cb3374316b68?pvs=21), ITANHAEM (https://www.notion.so/ceb9a0e53078414982421b82d217d3e2?pvs=21), BERTIOGA (https://www.notion.so/e77a9eaf739444d58a00c5b77647c60f?pvs=21), PERUIBE (https://www.notion.so/c4fe3e52571b4c49bf19c6894840fb62?pvs=21), MONGAGUA (https://www.notion.so/d9ae8fae21a34cd08767b71ea5e1b068?pvs=21), PRAIA GDE OCIAN (https://www.notion.so/0ee78fd550c04341b898ef257a9dbf20?pvs=21), POÇOS DE CALDAS (https://www.notion.so/20cc9fc3742541538f1b8bddcd498da1?pvs=21), LIMEIRA CT (https://www.notion.so/ea55401502734d6e865f04abf7b92231?pvs=21), LIMEIRA BR (https://www.notion.so/cf1a726382514c0cb092f0b7e80ff127?pvs=21)",
SUBSTITUICAO PABX,,
SUBSTITUICAO SIRENE INTRUSAO,,
TESTE COM CPD CEM,,
VERIFICACAO RAMAIS TELEFONICOS,,
VERIFICAR CABOS COAXIAIAS,,
INSTALAR BOMBA DE RECALQUE,SÃO JOSE RIO PRETO BR (https://www.notion.so/d55a9cffd6f34008a6339587eae7137d?pvs=21),
MANUTENCÃO TOMADAS DE PISO,CATANDUVA (https://www.notion.so/c66f67df67934ff4b8951e32aa1ca450?pvs=21),
MANUTENÇÃO GONDOLAS PORTATIL,"SÃO JOSE RIO PRETO BR (https://www.notion.so/d55a9cffd6f34008a6339587eae7137d?pvs=21), SÃO JOSE RIO PRETO CT (https://www.notion.so/15453ff80379426faef0ca108b951284?pvs=21)",
